timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1746381384084,3,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-316,text,false,,2631,0,323,323,http://localhost:3001/characters,0,0,3
1746381384085,2,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-319,text,false,,2631,0,322,322,http://localhost:3001/characters,0,0,2
1746381384006,63,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-132,text,false,,2631,0,322,322,http://localhost:3001/characters,0,0,63
1746381384081,5,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-305,text,false,,2631,0,323,323,http://localhost:3001/characters,0,0,5
1746381384085,2,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-317,text,false,,2631,0,323,323,http://localhost:3001/characters,0,0,2
1746381384082,5,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-314,text,false,,2631,0,323,323,http://localhost:3001/characters,0,0,5
1746381384084,3,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-318,text,false,,2631,0,323,323,http://localhost:3001/characters,0,0,3
1746381384081,2,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-313,text,false,,2631,0,328,328,http://localhost:3001/characters,0,0,2
1746381384077,5,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-301,text,false,,2631,0,328,328,http://localhost:3001/characters,0,0,5
1746381384082,7,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-307,text,false,,2631,0,332,332,http://localhost:3001/characters,0,0,6
1746381384080,2,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-306,text,false,,2631,0,333,333,http://localhost:3001/characters,0,0,2
1746381384080,1,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-303,text,false,,2631,0,333,333,http://localhost:3001/characters,0,0,1
1746381384080,1,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-304,text,false,,2631,0,333,333,http://localhost:3001/characters,0,0,1
1746381384082,7,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-308,text,false,,2631,0,333,333,http://localhost:3001/characters,0,0,6
1746381384080,2,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-310,text,false,,2631,0,333,333,http://localhost:3001/characters,0,0,2
1746381384079,2,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-311,text,false,,2631,0,333,333,http://localhost:3001/characters,0,0,2
1746381384076,4,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-292,text,false,,2631,0,333,333,http://localhost:3001/characters,0,0,4
1746381384078,2,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-312,text,false,,2631,0,333,333,http://localhost:3001/characters,0,0,2
1746381384078,1,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-309,text,false,,2631,0,334,334,http://localhost:3001/characters,0,0,1
1746381384078,1,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-296,text,false,,2631,0,334,334,http://localhost:3001/characters,0,0,1
1746381384078,1,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-295,text,false,,2631,0,335,335,http://localhost:3001/characters,0,0,1
1746381384074,3,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-300,text,false,,2631,0,335,335,http://localhost:3001/characters,0,0,3
1746381384078,1,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-294,text,false,,2631,0,335,335,http://localhost:3001/characters,0,0,1
1746381384075,1,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-302,text,false,,2631,0,335,335,http://localhost:3001/characters,0,0,1
1746381383993,85,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-55,text,false,,2631,0,336,336,http://localhost:3001/characters,0,0,85
1746381384074,2,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-299,text,false,,2631,0,336,336,http://localhost:3001/characters,0,0,2
1746381384021,56,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-138,text,false,,2631,0,336,336,http://localhost:3001/characters,0,0,56
1746381384074,2,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-297,text,false,,2631,0,336,336,http://localhost:3001/characters,0,0,2
1746381384074,2,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-298,text,false,,2631,0,336,336,http://localhost:3001/characters,0,0,2
1746381384004,73,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-65,text,false,,2631,0,336,336,http://localhost:3001/characters,0,0,72
1746381384046,30,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-281,text,false,,2631,0,336,336,http://localhost:3001/characters,0,0,30
1746381384001,76,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-90,text,false,,2631,0,336,336,http://localhost:3001/characters,0,0,76
1746381384006,71,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-28,text,false,,2631,0,336,337,http://localhost:3001/characters,0,0,71
1746381384001,75,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-162,text,false,,2631,0,338,338,http://localhost:3001/characters,0,0,75
1746381384044,32,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-276,text,false,,2631,0,338,338,http://localhost:3001/characters,0,0,32
1746381384001,75,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-140,text,false,,2631,0,338,338,http://localhost:3001/characters,0,0,75
1746381384078,1,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-293,text,false,,2631,0,338,338,http://localhost:3001/characters,0,0,1
1746381384021,55,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-94,text,false,,2631,0,338,338,http://localhost:3001/characters,0,0,55
1746381384004,71,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-153,text,false,,2631,0,338,338,http://localhost:3001/characters,0,0,71
1746381383998,77,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-121,text,false,,2631,0,338,338,http://localhost:3001/characters,0,0,77
1746381383995,81,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-89,text,false,,2631,0,338,338,http://localhost:3001/characters,0,0,81
1746381383998,78,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-91,text,false,,2631,0,338,338,http://localhost:3001/characters,0,0,78
1746381384006,70,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-116,text,false,,2631,0,338,338,http://localhost:3001/characters,0,0,70
1746381384006,69,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-139,text,false,,2631,0,339,339,http://localhost:3001/characters,0,0,69
1746381384005,71,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-38,text,false,,2631,0,339,339,http://localhost:3001/characters,0,0,71
1746381384001,75,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-78,text,false,,2631,0,339,339,http://localhost:3001/characters,0,0,75
1746381383998,78,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-47,text,false,,2631,0,339,339,http://localhost:3001/characters,0,0,78
1746381384022,54,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-93,text,false,,2631,0,339,339,http://localhost:3001/characters,0,0,54
1746381384006,70,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-96,text,false,,2631,0,339,339,http://localhost:3001/characters,0,0,70
1746381383992,83,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-136,text,false,,2631,0,339,339,http://localhost:3001/characters,0,0,83
1746381384021,55,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-103,text,false,,2631,0,339,339,http://localhost:3001/characters,0,0,55
1746381383999,77,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_1000_1_infinite 1-88,text,false,,2631,0,339,339,http://localhost:3001/characters,0,0,77
